제목,내용,날짜,추천수,조회수
"트라톤 그룹, 美 나비스타 인수 완료...“첨단트럭 개발 속도”","지난 1일 37억 달러 들여 나비스타 인수나비스타, 북미 시장 4위 트럭 제조업체트라톤, 나비스타 인수로 북미 진출 본격화전기트럭 플랫폼 및 자율주행 트럭 공동개발
 


..",07/14,0,303
"""아듀~ 메가트럭"" 중형트럭 18년 권좌에서 상용차 뒤안길로…","2004년 출시돼 중형트럭 시장서 1위 줄곧 수성와이드캡 출시로 중형~준대형급 수요도 커버높은 가성비와 기동성·특장성을 무기로18년간 풀체인지 없이 부분변경만으로 판매
 
18..",07/14,2,1074
"아우디, `제로백 3.9초` 고성능 중형 세단 RS 5 스포트백 출시","(서울=연합뉴스) 장하나 기자 = 아우디는 고성능 중형 세단 '더 뉴 아우디 RS 5 스포트백'을 출시한다고 13일 밝혔다.
 

 
아우디, 초고성능 중형 세단 ..",07/13,3,3216
"현대차 아반떼 N TCR, 2021 WTCR 3차전 우승","순수전기차 대회 '퓨어 ETCR' 2라운드서도 준우승
 
현대차 아반떼 N TCR, 2021 WTCR 3차전 우승[현대자동차 제공. 재판매 및 DB 금지]
 
..",07/13,4,1280
기아 카니발 하이리무진 4인승 출시…발 마사지기 등 편의성↑,"연식 변경 모델 '더 2022 카니발'도 출시
 
기아, 카니발 하이리무진 4인승 모델 출시(서울=연합뉴스) 기아자동차가 12일 4세대 카니발 하이리무진 4인승 모델을 출시했다..",07/13,2,2294
벤츠 첫 대형 전기트럭 ‘e악트로스’ 가을부터 양산 돌입,"e악트로스, 지난달 온라인 생중계로 출시가을 중 독일 벤츠트럭 공장서 생산 시작차량총중량 40톤, 최대적재중량 27톤 갖춰1회 충전에 400km 주행, 최고출력 330kW
 
..",07/13,0,880
"현대차 로보셔틀, 다음달부터 세종 스마트시티서 달린다","레벨4 수준 기술 일부 적용…'셔클'처럼 앱 호출해 최적의 경로로 이동하반기 남양연구소, 내년 상반기 판교 일대로 서비스 지역 확대
(서울=연합뉴스) 장하나 기자 = 현대차가 인공지능..",07/13,0,367
2030부산세계박람회 유치 닻 올렸다…유치위 창립총회,"김총리 ""대한민국 국제적 리더십 확고하게 다질 기회""삼성·현대차 등 5대 그룹 전폭 지원
 
김부겸 총리, 2030부산세계박람회 유치위 창립총회 참석(서울=연합뉴스) 김승두 기..",07/13,0,154
"충주 수송기계부품 전자파 센터 착공…""미래차 산업 견인""","(충주=연합뉴스) 박종국 기자 = 충북 충주 수송기계부품 전자파 센터가 13일 착공했다.
 
수송기계부품 전자파센터 조감도[충주시 제공. 재판매 및 DB 금지]
 
..",07/13,0,194
"삼성전자, 차량용 이미지센서 시장 진출 본격화…""소니 잡는다""","아이소셀 오토 브랜드 첫 출시…이미지센서 라인업 강화'코너픽셀' 기술 적용…시인성 향상, 사각지대 최소화
(서울=연합뉴스) 서미숙 기자 = 모바일 이미지센서의 강자인 삼성전자가 차량용..",07/13,2,305
"경기도 ""자동차 수리견적서에 대체부품 코드 추가해야""",(수원=연합뉴스) 이우성 기자 = 경기도는 자동차 수리 견적서와 명세서에 인증대체부품 코드를 추가하는 내용을 담은 '자동차관리법 시행규칙 개정안'의 조속한 시행을 국토교통부에 건의했다고 1..,07/13,0,220
"반도체 부족에 멈췄던 현대차 브라질공장, 15일부터 1교대 가동","14일까지 가동 중단…15∼25일 1교대로 재가동
 
현대자동차 브라질 생산공장[연합뉴스 자료사진]
 
(서울=연합뉴스) 권희원 기자 = 차량용 반도체 수급난의 영..",07/13,0,212
"송철호 시장, 현대차·현대중 방문…임단협 교섭 타결 당부","""협상 조속 마무리, 지역경제 활력 제고 앞장"" 촉구…관련 담화문도 발표
 
크레인 점거한 현대중공업 노조지난 6일 오전 울산시 동구 현대중공업 울산 본사에서 조경근 노조 지부..",07/13,0,224
"평택시, 평당항 인근에 147만㎡ 자동차 클러스터 조성","제조·전시·구매·체험·튜닝 집적화…2025년 완공 목표
(평택=연합뉴스) 최해민 기자 = 국내 최대 자동차 물류 항인 경기 평택·당진항(평당항) 인근에 축구장(7천140㎡) 205개 크기..",07/13,0,437
"車업계 ""미래차 전환 위해 국회가 예산·법안 마련 나서야""","""부품기업 저리융자 지원 프로그램, 내년도 예산안 반영돼야""""미래차 전환 투자에 대한 세제·보조금 지원 법률 마련해야""
 
미래차 (CG)[연합뉴스TV 제공]
 
..",07/13,0,175
수입 전기차 판매 65% `폭증`…10대 중 8대는 테슬라,"1∼6월 수입전기차 1만4천대 팔려…국내 판매량의 54% 차지아이오닉 5 힘입어 국산 전기차 판매도 32%↑

테슬라 모델 Y[테슬라코리아 제공. 재판매 및 DB 금지]
 
..",07/13,0,393
"""내년까지 차량용 반도체 공급난…현대차·삼성전자 협력 필요""","한국자동차연구원 ""TSMC 의존도 높아질 듯""
 
차량용 반도체 (PG)[장현경 제작] 사진합성·일러스트
 
(서울=연합뉴스) 최평천 기자 = 글로벌 차량용 반도체..",07/13,0,249
"""수소경제의 동맥""…일진하이솔루스, 수소튜브 트레일러 출시","기존보다 수소 운송량 1.5배 늘어…""수소연료탱크, 유럽시장 진출 추진""
 
안홍상 일진하이솔루스 대표[일진하이솔루스 제공. DB 및 재판매 금지]
 
(서울=연합..",07/13,0,211
"경유차 제한하고, 재생에너지 늘리고…친환경 올인하는 삼성","작년 재생에너지 사용량 4천GWh 최대…김기남 ""지속가능 100년 기업 되자""
(서울=연합뉴스) 김철선 기자 = 전 세계적인 ESG(환경·사회·지배구조) 경영 강화 움직임 속에서 삼성전자..",07/13,0,201
하이브리드·전기차 인기에…국내 친환경차 `100만대 시대` 눈앞,"5월 말 기준 93만9천대…3분기 중 100만대 돌파할 듯하반기 신차 출시 '봇물'…친환경차 보급 탄력받나
 
현대 더 뉴 싼타페 하이브리드[현대차 제공. 재판매 및 DB 금지..",07/13,0,300
[시승기] 작지만 더 강하고 편리해져서 돌아왔다…`뉴 미니`,"조향·가속 등 기본적인 성능 뛰어나…주행 보조 기능·편의사양 추가
 
뉴 미니 패밀리[미니 코리아 제공. 재판매 및 DB 금지]
 
(서울=연합뉴스) 권희원 기..",07/13,0,363
1톤 전기화물차 충전요금 12일부터 15~21%↑,"기존 1kWh당 255.7원에서 최대 309.1원으로 인상
 

 
1톤 전기화물차를 비롯한 전기차 충전요금이 12일부터 15~21% 인상된다.
 
환..",07/13,0,401
날렵한 외관·넓은 적재공간…유럽전략차종 `G70 슈팅 브레이크`,"제네시스, 영국 굿우드 페스티벌서 공개
 
제네시스, 영국서 'G70 슈팅 브레이크' 세계 최초 공개(서울=연합뉴스) 제네시스가 영국에서 열린 '2021 굿우드 페스티벌 오브 ..",07/09,3,6094
현대차 `더 뉴 싼타페 하이브리드` 판매…사전계약 6천150대,"현대차, '더 뉴 싼타페' 하이브리드(서울=연합뉴스) 현대자동차가 '더 뉴 싼타페' 하이브리드의 사전계약을 1일부터 실시한다. [현대차 제공. 재판매 및 DB 금지] photo@yna...",07/09,1,2759
[시승기] `요즘 잘 나가는` 제네시스의 첫 전기차 G80 전동화 모델,"듀얼 모터로 동력 성능 높여…뒷좌석 공간은 다소 타이트해최대 주행 가능거리 427㎞…i-페달 모드로 가속 페달만으로 감속·정차
 
제네시스 G80 전동화 모델[촬영 장하나]..",07/09,2,1677
"LG, 국내에 배터리 기술 허브 만든다…10년간 15조원 투자","오창·대전·마곡 '삼각 허브' 구축…차세대 배터리 기술 선도세계 최초 배터리 교육기관 'LG IBT'도 설립삼성SDI·SK이노베이션도 차세대 배터리 R&D 투자 확대
(서울=연합뉴..",07/09,4,1111
"삼성SDI, 스텔란티스 손잡고 미국 시장 진출하나","스텔란티스 북미 합작사 설립 가능성…LG·SK 이어 세번째
(서울=연합뉴스) 서미숙 기자 = 미국 GM·포드에 이어 세계 4위 자동차회사인 스텔란티스와 국내 배터리 회사간 배터리 협력이 ..",07/09,0,361
"현대차 사장, 파업 결의 노조 방문해 교섭 재개 요청","오는 12일 이후 교섭 재개 가능성 커
 
마주 앉은 현대차 노사 교섭 대표들[현대차 노조 제공. 재판매 및 DB 금지]
 
(울산=연합뉴스) 김근주 기자 = 현대..",07/09,0,463
"현대케피코, 국내 부품기업과 전기오토바이 기술교류회 개최","대·중·소기업 상생형 스마트모빌리티 산업육성을 위한 기술 교류회[현대케피코 제공. 재판매 및 DB 금지]
 
(서울=연합뉴스) 권희원 기자 = 현대케피코는 국내 기업들과 ..",07/09,0,209
"쌍용차, 수해 차량 특별 정비 서비스…수리비 40% 할인","쌍용차 코란도[쌍용차 제공. DB 및 재판매 금지]
 
(서울=연합뉴스) 최평천 기자 = 쌍용차는 장마와 태풍 등의 자연재해로 차량 피해를 본 고객을 대상으로 특별 정비 서..",07/09,0,360
"현대차·기아, 캐나다 업체와 고효율 수전해 시스템 개발 나선다","넥스트하이드로젠과 MOU…스택 기술 고도화해 그린 수소 생산 비용 저감
내년 중 실증 테스트 목표…그린 수소 보급 확대 기대
(서울=연합뉴스) 장하나 기자 = 현대차와 기아가 캐나다의 ..",07/09,0,163
"전 세계 ‘안전운임’ 시행국, 한국이 유일?","미·和蘭 등 일부 국가, 운임에 대해 ‘화주 책임’국내 안전운임제는 ‘호주 도로안전운임제’ 참고호주는 모든 트럭 대상 안전운임 2016년 폐지
 
우리나라 안전운임제 품목으..",07/09,0,470
글로벌 상용차업계 승·상용 계열분리로 살 길 모색,"애초는 군살 빼기 위해 분리 후 매각 목적친환경 시대 계열분리는 선택과 집중 목적승·상용 이미지 높이고, 신전략에 유리 판단
 

 
최근 독일의 다임러AG, 인도..",07/09,0,286
車업계 파업 전운…한국GM 이어 현대차 노조도 파업 가결,"르노삼성 노조는 사측에 교섭 요청…난항 예상
 
현대차 노조, 쟁의발생 결의를 위한 임시 대의원대회(울산=연합뉴스) 현대차 노조가 5일 울산 북구 현대차 문화회관에서 올해 임단..",07/08,1,1413
"현대차 고성능 세단 쏘나타 N 라인, 영화 `지.아이.조`에 등장","쏘나타 N라인[현대차 제공. DB 및 재판매 금지]
 
(서울=연합뉴스) 최평천 기자 = 현대차는 8월 국내 개봉 예정인 영화 '스네이크 아이즈:지.아이.조'에 쏘나타 N ..",07/08,0,1407
"르노삼성차, MZ세대 겨냥 `비대면 라이프` 담은 XM3 광고 선보여","(서울=연합뉴스) 장하나 기자 = 르노삼성차가 2022년형 XM3 TV 광고의 두번째 에피소드인 '내 편리한 XM3에 진심인 편'을 공개했다고 8일 밝혔다.
 

 이번 광고..",07/08,0,589
"""현대차, 13대 글로벌 車기업 중 매출 4위인데 R&D 투자는 10위""","자동차산업협회, 작년 주요 자동차그룹 R&D 투자 동향 분석""R&D 투자는 전동화 등 첨단기술 경쟁력 좌우…세제 지원 등 필요""
 
연구개발(R&D) 사업..",07/08,1,422
"대법 ""화물차에 캠퍼 올려도 구조변경 없다면 튜닝 아냐""","캠핑카[연합뉴스TV 제공]
 
(서울=연합뉴스) 박의래 기자 = 화물차 적재함에 '분리형 캠퍼'(야영 캠핑용 주거 공간)를 설치하더라도 차의 구조나 장치..",07/08,7,1446
"中 베이징, 2025년까지 트럭·버스 중심 수소차 1만 대 보급한다","수소충전소는 74곳 건설베이징·톈진·허베이 중심으로수소산업 육성 확대
 

 
중국 베이징시는 지난해 ‘수소차산업 발전계획(2020~2025년)’을 발표하며 트..",07/08,0,341
`강 대 강 대치` 르노삼성 노사 임단협 재개 움직임,"교섭권 회복한 기업노조 임시대의원 회의 민주노총 가입 논의기본급 이외 무노동무임금, 영업소 폐쇄 문제 갈등 소지 여전회사 ""물량 공급 중요…조속히 사태 해결 평화적인 노사 관계""
&nbs..",07/08,0,243
"현대차, 선박용 수소연료전지 시스템 상용화 나선다","현대글로벌서비스·한국선급과 MOU…""글로벌 친환경 선박 시장 개척""
(서울=연합뉴스) 장하나 기자 = 현대차가 현대글로벌서비스, 한국선급과 손잡고 선박용 수소연료전지 시스템 상용화에 나선..",07/08,0,173
"""13~15일 서울서 수소택시 무료로 타세요""","자동차연구원, '한국판 뉴딜' 1주년 기념 20대 무료 운영
 
수소택시[한국자동차연구원 제공. DB 및 재판매 금지]
 
(서울=연합뉴스) 최평천 기자 = 이달 ..",07/08,0,317
"현대차, 3년 만에 파업 가능성…조합원 73.8% 쟁의행위 찬성","7월 중순 이후 파업 여부 결정…사측 ""위기 상황서 조속히 타결하자""
 
구호 외치는 현대차 노조 대의원들현대차 노조가 지난 5일 울산 북구 현대차 문화회관에서 올해 임단협 관..",07/08,0,276
"삼성전자, 2030년까지 모든 업무용 차량 무공해차로 전환","이달부터 반도체 사업장에 경유차 출입제한
 

환경부-삼성전자, 그린모빌리티 전환 실천 협약(서울=연합뉴스) 홍정기 환경부 차관(왼쪽)이 7일 오후 삼성전자 경기 화성사업장에..",07/08,0,205
제네시스 첫 전기차 G80 전동화 모델 출시…가격은 8천281만원,"1회 충전시 최대 427㎞ 주행…초급속 충전시 22분 이내에 80%까지 충전전용 멤버십 론칭…""럭셔리 전기차의 새 기준 제시할 것""
(서울=연합뉴스) 장하나 기자 = 현대차의 고급차 브랜..",07/07,2,3491
국산트럭 ‘변속기’ 선호도 ‘수동→자동’ 급변속,"2~8.5톤 국산 카고트럭, ‘자동’ 선택률 28%파비스·프리마 모델 자동구매율은 과반 넘어준중형트럭 마이티·더 쎈도 자동 선호도증가출시 10년 넘은 메가·와이드캡은 여전히 수동
&nbs..",07/07,0,1695
"한국GM 노조, 쟁의조정 신청…임금협상 교섭 중단 선언","한국지엠 노조[연합뉴스TV 제공]
 
(인천=연합뉴스) 홍현기 기자 = 전국금속노동조합 한국지엠(GM)지부(한국GM 노조)는 7일 중앙노동위원회에 쟁의조정을 신청했다고 밝혔..",07/07,0,560
"테슬라 모델3, BMW 5시리즈 제쳤다…6월 수입차 판매 1위","수입차 질주 속 테슬라 '돌풍'…상반기 누적 1만대 돌파
 
테슬라 모델3[테슬라 제공]
 
(서울=연합뉴스) 최평천 기자 = 테슬라 전기차 모델 3가 지난달 BM..",07/07,0,1159
